"date","weighted","close","high","low","open","volume"
"2017-07-31 20:07:00","441.72","441.72","479.9","238","501.69","25550239.97"
"2017-08-01 20:08:00","670.61","670.61","1152.69","388.76","441.72","204011011.06"
"2017-08-02 20:08:00","405.76","405.76","803.38","374.01","670.61","94648185.99"
"2017-08-03 20:08:00","217.27","217.27","418.82","217.04","405.76","84316357.2"
"2017-08-04 20:08:00","203.5","203.5","283.67","191.23","217.27","77466653.07"
"2017-08-05 20:08:00","216.9","216.9","220.36","193.89","203.5","64637231.71"
"2017-08-06 20:08:00","292.67","322.6","411.56","239.47","241.87","89374025.1"
"2017-08-07 20:08:00","344.39","343.43","388.34","310.51","322.6","65405748.92"
"2017-08-08 20:08:00","302.63","302.63","347.6","296.43","342.49","79821520.16"
"2017-08-09 20:08:00","275.66","275.66","317.77","270.25","302.63","74074399.36"
"2017-08-10 20:08:00","327.65","327.65","368.73","292.46","275.66","94684627.31"
"2017-08-11 20:08:00","316.2","316.2","358.32","310.5","327.65","61394683.93"
"2017-08-12 20:08:00","289.5","289.5","332.04","289.5","316.2","63587663.09"
"2017-08-13 20:08:00","297.29","297.29","358.4","294.3","289.5","94540319.95"
"2017-08-14 20:08:00","297.6","297.6","322.74","278.66","297.29","85867214.64"
"2017-08-15 20:08:00","300.05","300.05","324.23","298.08","297.6","70107185.83"
"2017-08-16 20:08:00","446.29","446.29","453.14","286.39","300.05","240521291.1"
"2017-08-17 20:08:00","584.45","689.83","777.54","437.81","445.19","350422575.89"
"2017-08-18 20:08:00","783.77","738.54","965.48","604.03","689.83","382644710.5"
"2017-08-19 20:08:00","760.04","719.27","849.16","677.96","738.54","176097781.09"
"2017-08-20 20:08:00","637.34","605.22","749.65","557.92","719.27","137835348.17"
"2017-08-21 20:08:00","666.24","684.6","734.16","566.86","605.22","127212595.92"
"2017-08-22 20:08:00","676.65","676.65","723.86","643.53","688.3","127216601.69"
"2017-08-23 20:08:00","617.52","617.52","728.51","609.32","676.65","137548498.72"
"2017-08-24 20:08:00","631.97","631.97","670.37","614.95","617.52","117211951.63"
"2017-08-25 20:08:00","621.51","621.51","640.66","617.16","631.97","78356956.25"
"2017-08-26 20:08:00","619.7","619.7","653.17","584.5","621.51","101694967.45"
"2017-08-27 20:08:00","591.81","591.81","636.59","590.5","619.7","85857840.99"
"2017-08-28 20:08:00","547.08","547.08","627.99","519.5","591.81","130836880.15"
"2017-08-29 20:08:00","579.29","579.29","616.42","523.38","547.08","121125313.43"
"2017-08-30 20:08:00","594.26","594.26","625.98","581","579.29","92947670.26"
"2017-08-31 20:08:00","631.47","631.47","671.34","602.93","594.26","154564590.14"
"2017-09-01 20:09:00","577.67","577.67","602.83","568.52","631.47","72729406.78"
"2017-09-02 20:09:00","610.75","610.75","635.2","579.38","577.67","151279914.6"
"2017-09-03 20:09:00","525.32","525.32","569.7","521.91","610.75","89465932.43"
"2017-09-04 20:09:00","518.32","546.74","560.22","472.51","519.3","30106018.14"
"2017-09-05 20:09:00","616.08","647.64","657.3","539.13","546.74","54825116.2"
"2017-09-06 20:09:00","669.84","669.84","725.01","625.81","649.85","163741505.63"
"2017-09-07 20:09:00","626.29","605.66","698.49","573.09","667.56","65565655.08"
"2017-09-08 20:09:00","587.84","587.84","609.52","585.24","607.87","69135442.59"
"2017-09-09 20:09:00","558.76","558.76","578.71","556.21","587.84","71382344.17"
"2017-09-10 20:09:00","555.92","555.92","573.21","553.81","558.76","54119186.36"
"2017-09-11 20:09:00","536.92","536.92","551.47","536.92","555.92","53447284.99"
"2017-09-12 20:09:00","506.23","506.23","517.07","481.46","536.92","78765823.39"
"2017-09-13 20:09:00","440.48","386.49","515.58","385.45","506.49","43447407.4"
"2017-09-14 20:09:00","388.65","428.88","454.21","301.55","386.49","81380795.6"
"2017-09-15 20:09:00","438.08","443.21","470.7","411.53","428.88","35057627.63"
"2017-09-16 20:09:00","440.54","440.54","446.07","428.73","443.5","49902157.25"
"2017-09-17 20:09:00","473.16","486.03","492.49","438.38","439.07","33211175.33"
"2017-09-18 20:09:00","531.09","531.09","547.11","454.5","489.16","130480047.91"
"2017-09-19 20:09:00","478.28","478.28","528.36","470.13","531.09","104216156.05"
"2017-09-20 20:09:00","451.03","416.13","484.72","413.8","477.25","34350076.54"
"2017-09-21 20:09:00","410.13","410.13","422.02","403.65","417.79","58727705.73"
"2017-09-22 20:09:00","429.56","429.56","435.62","426.15","410.13","39297348.41"
"2017-09-23 20:09:00","421.4","421.4","423.23","415.9","429.56","41627924.16"
"2017-09-24 20:09:00","451.1","451.1","467.22","441.26","421.4","72063627.44"
"2017-09-25 20:09:00","450","450","462.06","444.16","451.1","44806194.67"
"2017-09-26 20:09:00","456.16","464.14","468.64","439.9","449.56","30195113.53"
"2017-09-27 20:09:00","459.42","459.42","486.28","445.16","464.18","92756739.51"
"2017-09-28 20:09:00","440.23","440.23","458.17","436.06","459.42","54164621.18"
"2017-09-29 20:09:00","433.36","433.36","461.35","427.43","440.23","67898670.23"
"2017-09-30 20:09:00","416.4","416.4","443.83","415.96","433.36","70953744.09"
"2017-10-01 20:10:00","419.84","419.84","430.05","402.46","416.4","83406894.78"
"2017-10-02 20:10:00","402.17","402.17","412.82","398.2","419.84","49650879.83"
"2017-10-03 20:10:00","355.84","355.84","396.13","341.33","402.17","95396914.91"
"2017-10-04 20:10:00","354.36","354.36","371.43","348.96","355.84","94766672.33"
"2017-10-05 20:10:00","363.35","363.35","374.81","345.78","354.36","78468378.95"
"2017-10-06 20:10:00","360.23","360.23","370.52","355.62","363.35","45302655.79"
"2017-10-07 20:10:00","343.06","343.06","375.95","313.83","360.23","88442311.83"
"2017-10-08 20:10:00","313.02","313.02","356.97","276.86","343.06","115557224.08"
"2017-10-09 20:10:00","317.81","317.81","347.44","301.57","313.02","131221060.91"
"2017-10-10 20:10:00","314.1","314.1","323.03","305.52","317.81","64722966.16"
"2017-10-11 20:10:00","310.31","310.31","354.53","309.66","314.1","99210902.04"
"2017-10-12 20:10:00","319.46","319.46","326.96","294.26","310.31","123744368.61"
"2017-10-13 20:10:00","320.65","320.65","338.01","318.09","319.46","80590684.4"
"2017-10-14 20:10:00","314.84","314.84","323.6","308.92","320.65","66085911.72"
"2017-10-15 20:10:00","313.6","313.6","325.29","312.1","314.24","50188563.73"
"2017-10-16 20:10:00","363.53","367.84","399.86","308.23","313.99","88485919.9"
"2017-10-17 20:10:00","338.34","338.34","377.09","327.52","368.72","105455092.46"
"2017-10-18 20:10:00","330.12","330.12","348.64","324.99","338.39","84303094.9"
"2017-10-19 20:10:00","324.95","324.95","351.68","323.45","330.06","69030295.83"
"2017-10-20 20:10:00","321.9","321.9","327.36","310.18","325.13","73267628.66"
"2017-10-21 20:10:00","326.37","326.37","360.41","319.9","322.26","102449084.58"
"2017-10-22 20:10:00","311.83","311.83","329.42","310.59","326.19","82280824.38"
"2017-10-23 20:10:00","323.84","323.84","330.62","290.15","311.77","102562296.5"
"2017-10-24 20:10:00","331.14","331.14","345.93","330.39","323.84","51183077.91"
"2017-10-25 20:10:00","335.53","335.53","361.2","330.29","331.08","77475889.46"
"2017-10-26 20:10:00","364.49","364.49","377.06","325.81","335.54","137790332.55"
"2017-10-27 20:10:00","417.01","417.01","421.08","358.71","364.61","149289189.65"
"2017-10-28 20:10:00","452.61","451.91","523.08","400.41","416.77","259090603.37"
"2017-10-29 20:10:00","448.86","444.93","482.58","416.06","451.91","87034115.9"
"2017-10-30 20:10:00","443.76","435.48","456.3","426.3","444.93","43638797.69"
"2017-10-31 20:10:00","490.75","529.88","546.11","434.45","435.48","122331291.42"
"2017-11-01 20:11:00","542.17","562.79","593.68","492.39","530.24","170606048.18"
"2017-11-02 20:11:00","642.86","626.04","686.21","558.53","563.21","212978833.44"
"2017-11-03 20:11:00","608.93","614.26","641.55","563.07","626.02","136414146.92"
"2017-11-04 20:11:00","603.43","625.72","637.29","570.83","614.26","88707513"
"2017-11-05 19:11:00","622.5","588.68","656.75","588.18","625.72","99875447.46"
"2017-11-06 19:11:00","600.24","603.26","617.44","584.38","588.55","43387451.36"
"2017-11-07 19:11:00","606.03","617.41","644.2","522.79","603.17","129168410.93"
"2017-11-08 19:11:00","637.26","650.09","675.39","612.32","617","88271349.36"
"2017-11-09 19:11:00","841.15","995.4","1029.27","647.39","650.09","562027429.83"
"2017-11-10 19:11:00","1155.91","1325.56","1414.14","897.92","989.87","404695851.15"
"2017-11-11 19:11:00","1376.66","1376.66","2766.84","1102.15","1340.25","1536057151.17"
"2017-11-12 19:11:00","1355.37","1355.37","1590.17","999.89","1373.12","968227850.02"
"2017-11-13 19:11:00","1252.12","1252.12","1409.79","1170.98","1355.37","346407761.9"
"2017-11-14 19:11:00","1191.53","1191.53","1412.94","1170.41","1252.12","289537449.57"
"2017-11-15 19:11:00","1032.82","896.51","1193.4","873.44","1185.84","203434765.52"
"2017-11-16 19:11:00","1178.09","1178.09","1256.63","829.28","904.74","671165420.34"
"2017-11-17 19:11:00","1243.39","1243.39","1436.36","1190.48","1178.86","586492278.12"
"2017-11-18 19:11:00","1172.62","1172.62","1303.71","1141.25","1243.41","295712502.86"
"2017-11-19 19:11:00","1249.9","1249.9","1270.51","1184.76","1172.62","277002930.69"
"2017-11-20 19:11:00","1172.07","1172.07","1227.96","1144.53","1250.07","236519368.95"
"2017-11-21 19:11:00","1299.41","1299.41","1369.41","1170.13","1172.06","344363213.74"
"2017-11-22 19:11:00","1670.8","1670.8","1671.6","1254.9","1299.4","732160410.82"
"2017-11-23 19:11:00","1620.48","1620.48","1818.12","1498.29","1670.79","610148807.57"
"2017-11-24 19:11:00","1541.7","1541.7","1744.81","1537.32","1619.36","357575464.1"
"2017-11-25 19:11:00","1723.91","1723.91","1766.77","1552.45","1544.31","447750839.99"
"2017-11-26 19:11:00","1587.48","1587.48","1802.59","1585.54","1724.84","345726212.34"
"2017-11-27 19:11:00","1485.91","1485.91","1626.57","1485.91","1587.39","372569785.06"
"2017-11-28 19:11:00","1342.87","1342.87","1595.7","1315.32","1485.91","604501031.61"
"2017-11-29 19:11:00","1292.69","1318.42","1415.75","1174.84","1333.52","150181384.27"
"2017-11-30 19:11:00","1432.63","1432.63","1514.09","1402.22","1323.96","298298370.23"
"2017-12-01 19:12:00","1393.56","1393.56","1444.85","1387.01","1432.63","238889547.68"
"2017-12-02 19:12:00","1517.11","1517.11","1616.08","1429.39","1392.46","473912466.96"
"2017-12-03 19:12:00","1547.14","1547.14","1570.39","1522.73","1516.84","329877158.41"
"2017-12-04 19:12:00","1426.89","1426.89","1577.4","1417.56","1547.2","359308481.03"
"2017-12-05 19:12:00","1357.91","1357.91","1681.57","1317.48","1426.89","486298041.72"
"2017-12-06 19:12:00","1251.14","1251.14","1700.2","1250.29","1358.51","548048140.26"
"2017-12-07 19:12:00","1396.46","1396.46","1802.15","1094.93","1252.45","1007786488.65"
"2017-12-08 19:12:00","1379.84","1379.84","1508.09","1267.63","1396.51","517178567.68"
"2017-12-09 19:12:00","1296.63","1296.63","1445.57","1256.57","1379.52","414175369.08"
"2017-12-10 19:12:00","1409.54","1409.54","1543.07","1344.29","1296.25","449698825.16"
"2017-12-11 19:12:00","1613.06","1613.06","1636.13","1435.39","1409.61","547228792.82"
"2017-12-12 19:12:00","1591.55","1591.55","1643.34","1479.66","1615.45","502279545.84"
"2017-12-13 19:12:00","1855.35","1933.27","2053.26","1561.3","1572.91","409667501.78"
"2017-12-14 19:12:00","1806.26","1806.26","2082.65","1617.71","1943.21","663781753.6"
"2017-12-15 19:12:00","1783.07","1783.07","2085.44","1755.22","1805.15","449958569.8"
"2017-12-16 19:12:00","1842.7","1842.7","1884.07","1747.56","1783.18","426273890.59"
"2017-12-17 19:12:00","2056.83","2146.79","2311.36","1750.39","1827.41","418792732.06"
"2017-12-18 19:12:00","2717.93","2717.93","2947.49","1946.88","2153.23","1503953979.23"
"2017-12-19 19:12:00","3510.37","3715.91","4112.39","2665.55","2670.97","1915071070.77"
"2017-12-20 19:12:00","3242.96","3084.09","3717.55","2857.3","3715.91","787854447.7"
"2017-12-21 19:12:00","2410.21","2521.46","3163.97","1716.84","3084.09","959174529.93"
"2017-12-22 19:12:00","2975.38","2991.57","3249.32","2466.89","2521.45","562467930.34"
"2017-12-23 19:12:00","2678.67","2797.92","2997.03","2463.15","2991.58","439830450.44"
"2017-12-24 19:12:00","2748.71","2748.71","2852.47","2734.88","2822.8","513771428.47"
"2017-12-25 19:12:00","2938.6","2938.6","3145.01","2749.52","2748.06","633027821.56"
"2017-12-26 19:12:00","2708.7","2708.7","2881.37","2684.04","2937.11","579805058.48"
"2017-12-27 19:12:00","2492.41","2492.41","2575.93","2452.1","2708.65","537028266.28"
"2017-12-28 19:12:00","2616.57","2616.57","2861.24","2373.33","2492.37","623376083.73"
