"date","weighted","close","high","low","open","volume"
"2017-06-28 20:06:00","0.85","0.8494","1.406","0.6151","0.8812","76704.36"
"2017-06-29 20:06:00","0.93","0.9327","1.094","0.7516","0.9568","58808.83"
"2017-06-30 20:06:00","1.27","1.273","1.58","0.5361","0.9793","343235.29"
"2017-07-01 20:07:00","2.08","3","3.88","0.9455","1.05","7026243.78"
"2017-07-02 20:07:00","4.25","4.2","6.9","2.5","3","21951537.56"
"2017-07-03 20:07:00","3.31","3.24","4.45","2.56","4.2","18817513.89"
"2017-07-04 20:07:00","2.89","2.86","3.35","2.61","3.24","8117576.76"
"2017-07-05 20:07:00","3.26","3.23","3.55","2.83","2.86","10051055.11"
"2017-07-06 20:07:00","2.84","2.65","3.33","2.62","3.23","7465810.66"
"2017-07-07 20:07:00","2.36","2.37","2.76","2.05","2.65","8588127.54"
"2017-07-08 20:07:00","2.3","2.22","2.51","2.07","2.37","5414423.53"
"2017-07-09 20:07:00","1.88","1.7","2.25","1.44","2.22","7816152.14"
"2017-07-10 20:07:00","1.54","1.53","1.84","1.4","1.7","8732379.96"
"2017-07-11 20:07:00","1.73","1.96","2.07","1.41","1.53","6247001.72"
"2017-07-12 20:07:00","1.77","1.71","2.02","1.58","1.96","3892904.76"
"2017-07-13 20:07:00","1.56","1.51","1.71","1.46","1.71","3712786.63"
"2017-07-14 20:07:00","1.37","1.29","1.52","1.28","1.51","4110173.01"
"2017-07-15 20:07:00","1.22","1.22","1.37","1.12","1.29","3648786.36"
"2017-07-16 20:07:00","1.39","1.51","1.59","1.2","1.22","4910881.48"
"2017-07-17 20:07:00","1.61","1.67","1.78","1.44","1.51","5033825.27"
"2017-07-18 20:07:00","1.6","1.45","1.8","1.39","1.67","4576710.7"
"2017-07-19 20:07:00","1.66","1.71","1.79","1.41","1.45","3412364.43"
"2017-07-20 20:07:00","1.84","1.79","1.98","1.68","1.71","4266150.4"
"2017-07-21 20:07:00","1.94","2.03","2.08","1.77","1.79","3886531.34"
"2017-07-22 20:07:00","1.96","1.91","2.18","1.8","2.03","5162630.73"
"2017-07-23 20:07:00","1.89","1.9","1.99","1.81","1.91","3396305.02"
"2017-07-24 20:07:00","1.66","1.67","1.91","1.53","1.9","5017566.25"
"2017-07-25 20:07:00","1.58","1.66","1.74","1.49","1.67","4538640.43"
"2017-07-26 20:07:00","1.81","1.91","1.94","1.64","1.66","5308046.55"
"2017-07-27 20:07:00","1.89","1.8","1.98","1.77","1.91","5264663.52"
"2017-07-28 20:07:00","1.73","1.81","1.87","1.6","1.8","4810950.06"
"2017-07-29 20:07:00","1.77","1.79","1.89","1.69","1.81","3085982.59"
"2017-07-30 20:07:00","1.72","1.72","1.81","1.64","1.79","3919388.58"
"2017-07-31 20:07:00","1.75","1.77","1.83","1.68","1.72","5236301.31"
"2017-08-01 20:08:00","1.76","1.76","1.93","1.69","1.77","3549752.39"
"2017-08-02 20:08:00","1.75","1.78","1.81","1.69","1.76","2981679.87"
"2017-08-03 20:08:00","1.78","1.78","1.85","1.7","1.78","3395697.49"
"2017-08-04 20:08:00","1.84","1.86","1.96","1.72","1.78","5778221.2"
"2017-08-05 20:08:00","1.79","1.76","1.88","1.75","1.86","4030809"
"2017-08-06 20:08:00","1.77","1.83","1.87","1.7","1.76","5206772.94"
"2017-08-07 20:08:00","1.88","1.86","1.98","1.79","1.83","6442701.97"
"2017-08-08 20:08:00","1.85","1.82","1.98","1.78","1.86","4507591.73"
