"date","weighted","close","high","low","open","volume"
"2015-08-06 20:08:00","2.77","2.773","27.79","0.7809","0.7812","148608.32"
"2015-08-07 20:08:00","0.81","0.8076","2.581","0.5958","2.773","583543.48"
"2015-08-08 20:08:00","0.74","0.7428","0.9581","0.6043","0.8076","547528.03"
"2015-08-09 20:08:00","0.68","0.6846","0.7628","0.599","0.7428","401107.09"
"2015-08-10 20:08:00","1.06","1.059","1.165","0.6548","0.6846","1567648.93"
"2015-08-11 20:08:00","1.25","1.252","1.294","0.8118","1.059","2255077.13"
"2015-08-12 20:08:00","1.78","1.781","2.013","1.102","1.252","4144356.12"
"2015-08-13 20:08:00","1.8","1.801","2.319","1.721","1.781","4020953.98"
"2015-08-14 20:08:00","1.66","1.656","1.856","1.499","1.801","2351072.72"
"2015-08-15 20:08:00","1.44","1.437","1.701","1.069","1.656","3453189.72"
"2015-08-16 20:08:00","1.19","1.195","1.594","1.144","1.437","1639187.47"
"2015-08-17 20:08:00","1.27","1.271","1.317","1.054","1.195","1714282.29"
"2015-08-18 20:08:00","1.26","1.263","1.287","1.13","1.271","1478394.44"
"2015-08-19 20:08:00","1.48","1.481","1.537","1.235","1.263","2895320.75"
"2015-08-20 20:08:00","1.44","1.438","1.573","1.334","1.481","1917846.87"
"2015-08-21 20:08:00","1.39","1.387","1.519","1.342","1.438","888366.17"
"2015-08-22 20:08:00","1.35","1.347","1.427","1.257","1.387","1556560.45"
"2015-08-23 20:08:00","1.24","1.244","1.296","1.177","1.347","851816.91"
"2015-08-24 20:08:00","1.17","1.166","1.312","1.106","1.244","1170023.4"
"2015-08-25 20:08:00","1.16","1.158","1.205","1.075","1.166","1051584.59"
"2015-08-26 20:08:00","1.13","1.132","1.166","1.112","1.158","616517.4"
"2015-08-27 20:08:00","1.19","1.186","1.207","1.153","1.132","656425.39"
"2015-08-28 20:08:00","1.18","1.18","1.188","1.145","1.186","361576.11"
"2015-08-29 20:08:00","1.33","1.327","1.375","1.161","1.18","1267478.81"
"2015-08-30 20:08:00","1.35","1.351","1.433","1.203","1.327","1381385.03"
"2015-08-31 20:08:00","1.35","1.35","1.39","1.322","1.351","707880.94"
"2015-09-01 20:09:00","1.29","1.288","1.366","1.257","1.35","831454.09"
"2015-09-02 20:09:00","1.26","1.259","1.305","1.187","1.288","676985.2"
"2015-09-03 20:09:00","1.27","1.273","1.322","1.243","1.259","442125.72"
"2015-09-04 20:09:00","1.32","1.32","1.342","1.283","1.273","389116.74"
"2015-09-05 20:09:00","1.3","1.301","1.371","1.288","1.32","444520.12"
"2015-09-06 20:09:00","1.24","1.242","1.311","1.226","1.301","439336.86"
"2015-09-07 20:09:00","1.23","1.23","1.277","1.224","1.242","360461.25"
"2015-09-08 20:09:00","1.21","1.207","1.256","1.184","1.23","348624.61"
"2015-09-09 20:09:00","1.16","1.162","1.216","1.121","1.207","585350.51"
"2015-09-10 20:09:00","0.98","0.9754","1.18","0.9097","1.162","1798821.7"
"2015-09-11 20:09:00","1.04","1.041","1.109","0.9516","0.9754","734047.02"
"2015-09-12 20:09:00","0.94","0.9378","1.029","0.8938","1.041","606998.31"
"2015-09-13 20:09:00","0.87","0.8743","0.9564","0.8612","0.9378","674159.56"
"2015-09-14 20:09:00","0.94","0.9436","0.9982","0.861","0.8743","673968.85"
"2015-09-15 20:09:00","0.9","0.903","0.9473","0.8959","0.9436","572627.81"
"2015-09-16 20:09:00","0.89","0.8853","0.9248","0.821","0.903","855838.66"
"2015-09-17 20:09:00","0.85","0.8501","0.8924","0.8257","0.8853","450401.13"
"2015-09-18 20:09:00","0.89","0.8882","0.917","0.8295","0.8501","370971.61"
"2015-09-19 20:09:00","0.94","0.9403","0.9454","0.8714","0.8882","471449.89"
"2015-09-20 20:09:00","0.9","0.9019","0.9474","0.8734","0.9403","402175.22"
"2015-09-21 20:09:00","0.9","0.8963","0.9401","0.8398","0.9019","447659.9"
"2015-09-22 20:09:00","0.89","0.895","0.9065","0.8782","0.8963","192752.01"
"2015-09-23 20:09:00","0.81","0.8142","0.9245","0.7127","0.895","769476.86"
"2015-09-24 20:09:00","0.74","0.7408","0.8301","0.6595","0.8142","838281.87"
"2015-09-25 20:09:00","0.78","0.779","0.7884","0.6975","0.7408","365596.54"
"2015-09-26 20:09:00","0.72","0.7219","0.7884","0.7131","0.779","393159.42"
"2015-09-27 20:09:00","0.59","0.5879","0.7479","0.5506","0.7219","1178655.8"
"2015-09-28 20:09:00","0.57","0.6816","0.6816","0.5","0.6","11590.73"
"2015-09-29 20:09:00","0.72","0.7177","0.7557","0.6259","0.6607","597290.48"
"2015-09-30 20:09:00","0.68","0.6818","0.7436","0.6166","0.7177","568748.8"
"2015-10-01 20:10:00","0.68","0.6758","0.6926","0.6472","0.6818","200108.14"
"2015-10-02 20:10:00","0.69","0.6866","0.7134","0.6745","0.6758","156657.69"
"2015-10-03 20:10:00","0.67","0.6661","0.6954","0.6602","0.6866","101882.7"
"2015-10-04 20:10:00","0.63","0.6287","0.6883","0.6189","0.6661","208300.12"
"2015-10-05 20:10:00","0.66","0.6555","0.6587","0.6016","0.6287","252874"
"2015-10-06 20:10:00","0.61","0.6116","0.659","0.5955","0.6555","195257.75"
"2015-10-07 20:10:00","0.62","0.6205","0.6419","0.5851","0.6116","293956.64"
"2015-10-08 20:10:00","0.65","0.6489","0.6955","0.6238","0.6205","358918.05"
"2015-10-09 20:10:00","0.63","0.6269","0.6602","0.6254","0.6489","138440.68"
"2015-10-10 20:10:00","0.63","0.6342","0.6483","0.6238","0.6269","84920.09"
"2015-10-11 20:10:00","0.63","0.6274","0.6556","0.6227","0.6342","105117.03"
"2015-10-12 20:10:00","0.6","0.6033","0.6414","0.5961","0.6274","270609.39"
"2015-10-13 20:10:00","0.51","0.5112","0.6228","0.4767","0.6033","868163.67"
"2015-10-14 20:10:00","0.56","0.559","0.5781","0.5137","0.5112","375497.73"
"2015-10-15 20:10:00","0.53","0.5318","0.5915","0.5228","0.559","234234.88"
"2015-10-16 20:10:00","0.55","0.5472","0.5726","0.523","0.5318","279667.3"
"2015-10-17 20:10:00","0.52","0.5173","0.5396","0.5084","0.5472","127754.19"
"2015-10-18 20:10:00","0.49","0.4891","0.5255","0.4796","0.5173","230187.76"
"2015-10-19 20:10:00","0.44","0.4356","0.5152","0.4286","0.4891","328014.51"
"2015-10-20 20:10:00","0.44","0.4405","0.4912","0.4156","0.4356","546179.45"
"2015-10-21 20:10:00","0.59","0.5875","0.6438","0.4254","0.4405","953444.19"
"2015-10-22 20:10:00","0.52","0.5198","0.6377","0.5009","0.5875","804988.1"
"2015-10-23 20:10:00","0.57","0.5739","0.5886","0.5244","0.5198","255956.81"
"2015-10-24 20:10:00","0.65","0.6511","0.6851","0.5622","0.5739","589347.28"
"2015-10-25 20:10:00","0.74","0.7417","0.8115","0.5988","0.6511","1090536.45"
"2015-10-26 20:10:00","0.87","0.8692","0.9149","0.7193","0.7417","1639901.14"
"2015-10-27 20:10:00","1.01","1.008","1.107","0.8041","0.8692","2034359.84"
"2015-10-28 20:10:00","1.16","1.164","1.234","0.9622","1.008","1861274.46"
"2015-10-29 20:10:00","1.04","1.039","1.343","0.9365","1.164","1993468.61"
"2015-10-30 20:10:00","0.89","0.8929","1.012","0.8743","1.039","484263.49"
"2015-10-31 20:10:00","1.05","1.05","1.072","0.8968","0.8929","489947.65"
"2015-11-01 19:11:00","0.96","0.9639","1.206","0.9377","1.05","968453.71"
"2015-11-02 19:11:00","1","0.9956","1.159","0.8826","0.9639","1814080.24"
"2015-11-03 19:11:00","0.87","0.8679","1.024","0.5741","0.9956","3081006.72"
"2015-11-04 19:11:00","0.89","0.8898","0.9847","0.7884","0.8679","1151192.74"
"2015-11-05 19:11:00","0.92","0.9168","0.9855","0.8276","0.8898","862513.6"
"2015-11-06 19:11:00","0.92","0.9165","0.962","0.8484","0.9168","846754.5"
"2015-11-07 19:11:00","1.02","1.019","1.027","0.8784","0.9165","955965.71"
"2015-11-08 19:11:00","1","1.001","1.154","0.9251","1.019","1879282.68"
"2015-11-09 19:11:00","0.92","0.9232","0.9582","0.8629","1.001","793736.27"
"2015-11-10 19:11:00","0.78","0.7798","0.8584","0.6914","0.9232","1132141.78"
