"date","weighted","close","high","low","open","volume"
"2013-09-28 20:09:00","2.59","2.59","2.59","2.59","2.565","12.95"
"2013-09-29 20:09:00","2.55","2.554","2.554","2.554","2.59","143.62"
"2013-09-30 20:09:00","2.67","2.666","2.666","2.525","2.554","2.666"
"2013-10-01 20:10:00","2.34","2.337","2.337","2.337","2.666","3.505"
"2013-10-02 20:10:00","2.5","2.502","2.502","2.489","2.337","232.03"
"2013-10-04 20:10:00","2.61","2.611","2.611","2.611","2.613","7.833"
"2013-10-05 20:10:00","2.63","2.632","2.632","2.632","2.611","5.264"
"2013-10-06 20:10:00","2.35","2.348","2.594","2.348","2.632","2.348"
"2013-10-07 20:10:00","2.29","2.29","2.36","2.29","2.348","343.55"
"2013-10-08 20:10:00","2.23","2.232","2.341","2.232","2.29","223.2"
"2013-10-09 20:10:00","2.68","2.682","2.682","2.247","2.232","26.82"
"2013-10-10 20:10:00","2.8","2.802","2.802","2.101","2.682","1394.72"
"2013-10-11 20:10:00","2.57","2.572","2.858","2.429","2.802","771.61"
"2013-10-13 20:10:00","2.88","2.876","2.876","2.725","2.656","14.38"
"2013-10-14 20:10:00","3","3.004","3.004","3.004","2.876","6.007"
"2013-10-15 20:10:00","2.75","2.751","2.904","2.139","3.004","297.08"
"2013-10-16 20:10:00","2.84","2.837","2.994","2.837","2.751","524.6"
"2013-10-19 20:10:00","3.16","3.164","3.35","3.164","3.297","3.164"
"2013-10-20 20:10:00","1.74","1.735","3.277","1.735","3.164","8.675"
"2013-10-21 20:10:00","1.83","1.827","1.827","1.827","1.735","9.135"
"2013-10-23 20:10:00","4.35","4.347","4.347","1.863","2.052","2707.92"
"2013-10-27 20:10:00","2.41","2.406","5.959","2.406","4.345","27.91"
"2013-10-29 20:10:00","2.45","2.454","2.479","2.419","2.512","25.43"
"2013-10-30 20:10:00","2.49","2.485","2.492","2.483","2.454","131.06"
"2013-10-31 20:10:00","2.6","2.595","2.595","2.512","2.485","68.98"
"2013-11-01 20:11:00","2.67","2.672","2.672","2.574","2.595","267.15"
"2013-11-02 20:11:00","3.24","3.241","3.468","2.827","2.672","4392.65"
"2013-11-03 19:11:00","3.89","3.889","3.889","3.446","3.241","961.17"
